head_id,pca_90,pca_95,pca_99,evr_pc1,evr_pc2,evr_pc3,pr,twonn,mle,shannon_entropy,eff_rank,layer,block,head,pca_obj,head_dim,separability,silhouette,davies_bouldin,lr_mean,lr_std,ridge_mean,ridge_std,per_class_mean,per_class_std,spec_index,selectivity,top1_class,top1_activation,top2_class,top3_class,cluster
L2_B0_H14,11,14,20,0.18632454,0.16632569,0.12166787,9.20652,7.303234817289981,8.768821424543836,2.4913182,12.077185,2,0,1,PCA(n_components=24),24,1.3729748958283445,-0.016180625185370445,3.0768002955539906,0.6905,0.013638181696985831,0.543,0.01812456896039186,0.7895,0.13445166417713095,0.9053235650062561,0.2532947361469269,40.0,1.2044165134429932,15.0,10.0,3
L2_B0_H15,11,14,19,0.18606791,0.14948207,0.13106969,9.47789,7.777018768777859,9.122558513184071,2.5145795,12.36141,2,0,1,PCA(n_components=24),24,1.3759491142831208,-0.02600179985165596,3.21881114592793,0.6699999999999999,0.0162788205960997,0.5235000000000001,0.009027735042633881,0.782,0.12165936051122413,0.977973222732544,0.2766442596912384,10.0,0.8659337759017944,40.0,9.0,6
L2_B0_H2,12,15,20,0.1682849,0.1585845,0.10750552,10.447608,7.841501044302285,9.979172890930133,2.6090302,13.58587,2,0,2,PCA(n_components=24),24,1.318939217336623,-0.027695180848240852,3.199760685463909,0.643,0.019710403344427016,0.5025000000000001,0.015329709716755907,0.7555,0.1385,0.7236493825912476,0.30378758907318115,2.0,0.7720910310745239,22.0,10.0,1
L2_B0_H3,14,17,22,0.17853168,0.123725645,0.10356306,11.424609,9.012851245396499,11.123588827361,2.7051864,14.957104,2,0,3,PCA(n_components=24),24,1.2487319824531533,-0.05116765573620796,3.4475097183742722,0.6165,0.023216373532487795,0.4795,0.021118712081942877,0.7245,0.14650000000000002,0.5476475954055786,0.36614328622817993,40.0,0.48683595657348633,10.0,27.0,1
L2_B0_H4,12,15,20,0.21460949,0.13717909,0.10713653,9.672872,6.525596185383108,9.257551397194234,2.5774808,13.163933,2,0,4,PCA(n_components=24),24,1.3372129413118434,-0.02870287373661995,3.166546522853604,0.6914999999999999,0.029436372059070074,0.534,0.016015617378046985,0.7925,0.12280574090815136,0.7144905924797058,0.3056395649909973,22.0,0.6306160688400269,10.0,15.0,1
L2_B0_H5,8,10,15,0.23387046,0.18858723,0.13124262,7.2780075,5.9343306835997955,7.950475847274,2.2436247,9.427442,2,0,5,PCA(n_components=24),24,1.4038363658467488,-0.042377278208732605,3.357726928957586,0.6130000000000001,0.02767670500619612,0.522,0.024361855430159684,0.7165,0.1658018395555369,1.0616165399551392,0.3079235255718231,46.0,1.9006351232528687,38.0,36.0,4
L2_B0_H6,11,14,19,0.17962337,0.17099074,0.105388746,9.685405,6.692108082476713,8.968011276320418,2.5381262,12.655933,2,0,6,PCA(n_components=24),24,1.383846294565002,-0.016556376591324806,3.078551699718879,0.689,0.011247221879201968,0.5625,0.015491933384829683,0.8025000000000001,0.1090011467829582,1.0666289329528809,0.3780363202095032,46.0,0.8571484684944153,38.0,36.0,8
L2_B0_H7,12,15,20,0.26452544,0.12580907,0.12019837,8.13055,8.100575359988254,10.506837521866,2.4871194,12.026582,2,0,7,PCA(n_components=24),24,1.2642846639149146,-0.06012120842933655,3.8268663460581798,0.597,0.03284052374734603,0.48949999999999994,0.01469693845669906,0.713,0.14450259513240585,0.6264691352844238,0.42558959126472473,15.0,0.40677303075790405,10.0,24.0,6
L2_B0_H8,14,17,22,0.14449763,0.13809796,0.10687236,12.328862,10.734543810105608,12.052716286174709,2.751259,15.66234,2,0,8,PCA(n_components=24),24,1.2486474940707994,-0.04489278420805931,3.4036707199673533,0.5694999999999999,0.023685438564654007,0.45999999999999996,0.016507574019219172,0.6925,0.1439835059998193,0.5579311847686768,0.4397851228713989,27.0,0.5154315233230591,22.0,10.0,3
L2_B0_H9,13,15,20,0.16877776,0.14752975,0.12084229,10.623218,6.952446116570495,9.66970737139482,2.6255996,13.812855,2,0,9,PCA(n_components=24),24,1.331971141063291,-0.02531956508755684,3.2322863981371217,0.6409999999999999,0.022282279955157205,0.503,0.013910427743243553,0.758,0.12282507887235407,0.8206769824028015,0.2695678174495697,10.0,1.0090210437774658,15.0,40.0,3
L2_B1_H0,13,16,21,0.18724734,0.1274014,0.10711922,10.725798,8.826747032172808,10.803559454995531,2.652871,14.194731,2,1,0,PCA(n_components=24),24,1.3119945886291868,-0.023336701095104218,3.2137620500467414,0.6555,0.01238951169336386,0.554,0.022282279955157195,0.758,0.12663332894621385,0.8143234848976135,0.42107832431793213,40.0,0.6672636866569519,27.0,15.0,1
L2_B1_H1,15,18,22,0.16043717,0.104846776,0.09257522,13.195901,9.11797945868102,11.857488533916204,2.817391,16.733135,2,1,1,PCA(n_components=24),24,1.2584349133559714,-0.030422044917941093,3.2410636870775322,0.6295,0.01749285568453588,0.557,0.01819340539866026,0.7454999999999999,0.15113652768275443,0.5794758796691895,0.3243066072463989,10.0,0.4754895567893982,15.0,27.0,1
L2_B1_H10,15,18,22,0.14186965,0.124178,0.10080888,13.1416445,7.31881511914326,11.125683641754764,2.8064764,16.551493,2,1,1,PCA(n_components=24),24,1.249209611954476,-0.0277236420661211,3.4474573073214985,0.58,0.027431733448690387,0.487,0.02187464285422736,0.706,0.153668474320532,0.5497433543205261,0.2539425492286682,27.0,0.724418044090271,15.0,46.0,6
