head_id,layer_x,n_comp_99,evr1,layer_y,twonn_id,ratio,global_idx,mean_acc,std_acc
L3_B1_H21,3,23,0.19265434,3,9.189221125817708,2.502932477637307,166,0.757,0.02531797780234432
L3_B1_H22,3,23,0.213201,3,10.51687736893689,2.1869609384182613,167,0.5790000000000001,0.01820714145603311
L3_B1_H23,3,23,0.21534786,3,9.769127851707793,2.354355511477849,168,0.6105,0.03222576608864403
L3_B1_H24,3,23,0.1894368,3,8.590328085466542,2.6774297525274164,169,0.8375,0.011510864433221349
L3_B1_H25,3,23,0.1488003,3,8.084967359717234,2.8447857581461413,170,0.9045,0.010653637876331268
L3_B1_H26,3,23,0.12863496,3,9.88959353046899,2.3256769784459768,171,0.619,0.014456832294800928
L3_B1_H27,3,23,0.14983435,3,8.598601458723238,2.6748535922276777,172,0.825,0.01508310312899835
L3_B1_H28,3,23,0.21522193,3,8.27037170674533,2.781011641984744,173,0.8775000000000001,0.014916433890176281
L3_B1_H29,3,19,0.622794,3,7.901428634881496,2.404628438472881,174,0.7529999999999999,0.015604486534327236
L3_B1_H3,3,23,0.11953795,3,8.901136929653878,2.583939577805636,175,0.8835000000000001,0.007176350047203673
L3_B1_H30,3,23,0.15091349,3,8.673518731614347,2.6517496199283763,176,0.8320000000000001,0.006964194138592076
L3_B1_H31,3,23,0.14156038,3,8.697996179516064,2.6442872042373864,177,0.8619999999999999,0.01144552314225958
L3_B1_H4,3,23,0.15050302,3,8.178330914283908,2.8123097782494013,178,0.851,0.009823441352194245
L3_B1_H5,3,23,0.13864636,3,9.602090157786176,2.39531181462087,179,0.705,0.029240383034426918
L3_B1_H6,3,22,0.18208326,3,9.011347500366664,2.441366288349754,180,0.8055,0.01919635382045247
L3_B1_H7,3,22,0.3155603,3,8.9382494465131,2.461332068616906,181,0.654,0.02477902338672772
L3_B1_H8,3,21,0.22631018,3,7.882414391799667,2.6641583347669444,182,0.8924999999999998,0.014142135623730963
L3_B1_H9,3,23,0.16059761,3,9.051563893383523,2.540997364755106,183,0.7985,0.013928388277184131
